FECHA,CAUDAL_M3S
2015-01-01,76.77
2015-01-02,71.32
2015-01-03,67.94
2015-01-04,65.47
2015-01-05,63.14
2015-01-06,60.72
2015-01-07,58.26
2015-01-08,56.62
2015-01-09,55.91
2015-01-10,54.18
2015-01-11,52.75
2015-01-12,52.51
2015-01-13,52.5
2015-01-14,55.11
2015-01-15,54.14
2015-01-16,53.17
2015-01-17,56.5
2015-01-18,68.16
2015-01-19,61.57
2015-01-20,55.55
2015-01-21,57.58
2015-01-22,71.98
2015-01-23,72.91
2015-01-24,75.22
2015-01-25,67.89
2015-01-26,62.28
2015-01-27,66.66
2015-01-28,65.16
2015-01-29,63.85
2015-01-30,58.74
2015-01-31,57.49
2015-02-01,62.51
2015-02-02,67.3
2015-02-03,69.6
2015-02-04,69.94
2015-02-05,64.29
2015-02-06,64.57
2015-02-07,72.3
2015-02-08,89.11
2015-02-09,193.69
2015-02-10,136.72
2015-02-11,123.5
2015-02-12,90.64
2015-02-13,78.7
2015-02-14,79.95
2015-02-15,75.25
2015-02-16,71.79
2015-02-17,63.71
2015-02-18,66.58
2015-02-19,68.84
2015-02-20,60.15
2015-02-21,59.24
2015-02-22,58.03
2015-02-23,57.43
2015-02-24,64.66
2015-02-25,67.57
2015-02-26,60.63
2015-02-27,60.45
2015-02-28,65.49
2015-03-01,73.46
2015-03-02,68.43
2015-03-03,76.14
2015-03-04,106.15
2015-03-05,80.19
2015-03-06,72.41
2015-03-07,69.14
2015-03-08,64.87
2015-03-09,61.36
2015-03-10,61.33
2015-03-11,60.76
2015-03-12,61.35
2015-03-13,63.85
2015-03-14,98.52
2015-03-15,77.79
2015-03-16,74.11
2015-03-17,85.84
2015-03-18,103.56
2015-03-19,86.46
2015-03-20,127.01
2015-03-21,124.73
2015-03-22,102.44
2015-03-23,107.78
2015-03-24,108.1
2015-03-25,104.53
2015-03-26,99.07
2015-03-27,89.62
2015-03-28,87.99
2015-03-29,96.29
2015-03-30,80.17
2015-04-01,93.38
2015-04-02,80.12
2015-04-03,76.66
2015-04-04,79.8
2015-04-05,81.09
2015-04-06,80.73
2015-04-07,73.03
2015-04-08,70.38
2015-04-09,68.8
2015-04-10,61.9
2015-04-11,59.56
2015-04-12,59.1
2015-04-13,64.64
2015-04-14,64.9
2015-04-15,67.69
2015-04-16,91.21
2015-04-17,148.13
2015-04-18,110.5
2015-04-19,112.75
2015-04-20,101.43
2015-04-21,133.32
2015-04-22,113.75
2015-04-23,95.46
2015-04-24,98.93
2015-04-25,86.22
2015-04-26,135.12
2015-04-27,179.87
2015-04-28,131.81
2015-05-29,121.69
2015-05-30,99.33
2015-05-31,38.52
2015-06-01,61.57
2015-06-02,68.39
2015-06-03,93.49
2015-06-04,133.44
2015-06-05,131.02
2015-06-06,115.36
2015-06-07,78.81
2015-06-08,66.74
2015-06-09,72.87
2015-06-10,73.8
2015-06-11,63.51
2015-06-12,56.73
2015-06-13,54.57
2015-06-14,50.05
2015-06-15,48.38
2015-06-16,45.82
2015-06-17,47.69
2015-06-18,57.21
2015-06-19,95.35
2015-06-20,205.64
2015-06-21,127.13
2015-06-22,117.5
2015-06-23,161.97
2015-06-24,203.2
2015-06-25,143.31
2015-06-26,94.95
2015-06-27,140.68
2015-06-28,127.59
2015-06-29,101.02
2015-06-30,135.0
2015-07-01,70.66
2015-07-02,68.01
2015-07-03,56.17
2015-07-04,47.19
2015-07-05,53.01
2015-07-06,53.95
2015-07-07,55.87
2015-07-08,52.78
2015-07-09,46.0
2015-07-10,40.12
2015-07-11,65.92
2015-07-12,71.73
2015-07-13,62.99
2015-07-14,45.87
2015-07-15,39.79
2015-07-16,40.54
2015-07-17,56.77
2015-07-18,45.97
2015-07-19,56.76
2015-07-20,49.51
2015-07-21,47.08
2015-07-22,49.7
2015-07-23,97.46
2015-07-24,80.35
2015-07-25,53.84
2015-07-26,47.76
2015-07-27,44.62
2015-07-28,90.57
2015-07-29,43.49
2015-07-30,41.44
2015-07-31,24.75
2015-08-01,108.58
2015-08-02,70.64
2015-08-03,70.42
2015-08-04,50.57
2015-08-05,46.28
2015-08-06,46.43
2015-08-07,40.76
2015-08-08,42.06
2015-08-09,44.09
2015-08-10,41.61
2015-08-11,36.13
2015-08-12,33.72
2015-08-13,32.88
2015-08-15,81.88
2015-08-16,89.37
2015-08-17,120.08
2015-08-18,78.27
2015-08-19,48.01
2015-08-20,41.78
2015-08-21,48.87
2015-08-22,41.14
2015-08-23,36.03
2015-08-24,34.01
2015-08-25,37.36
2015-08-26,59.61
2015-08-27,43.51
2015-08-28,35.54
2015-08-29,23.17
2015-08-30,30.56
2015-09-01,58.03
2015-09-02,49.69
2015-09-03,44.34
2015-09-04,38.08
2015-09-05,33.07
2015-09-06,31.95
2015-09-07,37.41
2015-09-08,40.94
2015-09-09,35.84
2015-09-10,41.96
2015-09-11,38.98
2015-09-12,37.47
2015-09-13,33.1
2015-09-14,29.41
2015-09-15,27.79
2015-09-16,27.24
2015-09-17,27.09
2015-09-18,36.0
2015-09-19,47.04
2015-09-20,39.8
2015-09-21,28.4
2015-09-22,27.22
2015-09-23,27.14
2015-09-24,26.16
2015-09-25,25.86
2015-09-26,24.63
2015-09-27,24.01
2015-09-28,24.09
2015-09-29,30.55
2015-09-30,32.15
2015-10-01,28.59
2015-10-02,32.09
2015-10-03,29.54
2015-10-04,26.91
2015-10-05,32.78
2015-10-06,27.37
2015-10-07,26.39
2015-10-08,25.91
2015-10-09,23.59
2015-10-10,26.97
2015-10-11,27.56
2015-10-12,28.08
2015-10-13,29.71
2015-10-14,43.34
2015-10-15,68.23
2015-10-16,55.16
2015-10-17,41.91
2015-10-18,38.57
2015-10-19,35.86
2015-10-20,32.82
2015-10-21,29.48
2015-10-22,28.27
2015-10-23,27.75
2015-10-24,30.73
2015-10-25,38.13
2015-10-26,34.11
2015-10-27,33.93
2015-10-28,30.54
2015-10-29,45.38
2015-10-30,46.12
2015-11-01,57.76
2015-11-02,67.37
2015-11-03,64.79
2015-11-04,54.28
2015-11-05,53.45
2015-11-06,85.1
2015-11-07,121.25
2015-11-08,104.78
2015-11-09,80.74
2015-11-10,65.74
2015-11-11,54.5
2015-11-12,49.57
2015-11-13,48.01
2015-11-14,42.72
2015-11-15,40.89
2015-11-16,40.25
2015-11-17,40.99
2015-11-18,42.83
2015-11-19,45.65
2015-11-20,45.16
2015-11-21,58.95
2015-11-22,56.17
2015-11-23,47.17
2015-11-24,50.33
2015-11-25,53.97
2015-11-26,52.44
2015-11-27,47.52
2015-11-28,43.13
2015-11-29,25.44
2015-11-30,24.77
2015-12-01,40.54
2015-12-02,39.04
2015-12-03,38.27
2015-12-04,36.36
2015-12-05,37.41
2015-12-06,37.39
2015-12-07,34.92
2015-12-08,33.58
2015-12-09,31.99
2015-12-10,31.32
2015-12-11,31.63
2015-12-12,29.21
2015-12-13,29.28
2015-12-14,35.03
2015-12-15,36.0
2015-12-16,33.93
2015-12-17,30.86
2015-12-18,31.57
2015-12-19,31.41
2015-12-20,33.33
2015-12-21,31.46
2015-12-22,29.93
2015-12-23,27.92
2015-12-24,28.6
2015-12-25,25.73
2015-12-26,26.53
2015-12-27,25.84
2015-12-28,25.61
2016-01-01,24.08
2016-01-02,24.41
2016-01-03,24.8
2016-01-04,27.38
2016-01-05,32.78
2016-01-06,34.99
2016-01-07,49.12
2016-01-08,45.5
2016-01-09,45.67
2016-01-10,52.69
2016-01-11,50.54
2016-01-12,51.73
2016-01-13,43.56
2016-01-14,46.45
2016-01-15,36.36
2016-01-16,34.43
2016-01-17,35.68
2016-01-18,36.0
2016-01-19,33.4
2016-01-20,33.01
2016-01-21,32.49
2016-01-22,31.83
2016-01-23,33.03
2016-01-24,31.23
2016-01-25,32.65
2016-01-26,36.71
2016-01-27,31.03
2016-01-28,32.39
2016-01-29,37.82
2016-01-30,36.06
2016-01-31,34.88
2016-02-01,35.44
2016-02-02,32.56
2016-02-03,30.3
2016-02-04,29.83
2016-02-05,34.88
2016-02-06,32.14
2016-02-07,29.79
2016-02-08,28.37
2016-02-09,30.23
2016-02-10,30.14
2016-02-11,28.23
2016-02-12,30.54
2016-02-13,27.42
2016-02-14,27.59
2016-02-15,26.29
2016-02-16,25.41
2016-02-17,29.44
2016-02-18,27.79
2016-02-19,28.55
2016-02-20,28.48
2016-02-21,27.25
2016-02-22,38.38
2016-02-23,41.93
2016-02-24,34.44
2016-02-25,32.24
2016-02-26,43.68
2016-02-27,45.1
2016-02-28,44.76
2016-02-29,39.2
2016-03-01,37.18
2016-03-02,40.1
2016-03-03,49.0
2016-03-04,52.32
2016-03-05,68.05
2016-03-06,61.91
2016-03-07,63.56
2016-03-08,71.34
2016-03-09,68.02
2016-03-10,77.22
2016-03-11,98.34
2016-03-12,79.99
2016-03-13,81.23
2016-03-14,78.2
2016-03-15,69.64
2016-03-16,58.65
2016-03-17,70.18
2016-03-18,79.9
2016-03-19,76.61
2016-03-20,72.68
2016-03-21,64.8
2016-03-22,63.16
2016-03-23,60.68
2016-03-24,68.71
2016-03-25,54.78
2016-03-26,47.8
2016-03-27,43.7
2016-03-28,58.56
2016-03-29,54.6
2016-03-30,103.79
2016-03-31,95.82
2016-04-01,60.92
2016-04-02,105.55
2016-04-03,126.2
2016-04-04,104.57
2016-04-05,111.77
2016-04-06,98.66
2016-04-07,77.2
2016-04-08,71.48
2016-04-09,71.0
2016-04-10,74.75
2016-04-11,107.04
2016-04-12,132.22
2016-04-13,127.15
2016-04-14,137.28
2016-04-15,107.06
2016-04-16,93.17
2016-04-17,95.38
2016-04-18,85.81
2016-04-19,78.37
2016-04-20,72.8
2016-04-21,65.14
2016-04-22,62.17
2016-04-23,61.38
2016-04-24,72.96
2016-04-25,69.67
2016-04-26,69.18
2016-04-27,106.72
2016-04-28,128.51
2016-04-29,129.04
2016-04-30,98.63
2016-05-01,92.1
2016-05-02,92.82
2016-05-03,86.31
2016-05-04,85.45
2016-05-05,84.4
2016-05-06,75.99
2016-05-07,114.52
2016-05-08,101.79
2016-05-09,138.55
2016-05-10,159.52
2016-05-11,141.3
2016-05-12,122.63
2016-05-13,98.6
2016-05-14,90.83
2016-05-15,108.39
2016-05-16,113.32
2016-05-17,101.95
2016-05-18,103.14
2016-05-19,93.31
2016-05-20,82.65
2016-05-21,77.24
2016-05-22,72.61
2016-05-23,72.24
2016-05-24,68.58
2016-05-25,98.3
2016-05-26,68.91
2016-05-27,60.25
2016-05-28,59.04
2016-05-29,75.46
2016-05-30,105.81
2016-05-31,35.71
2016-06-01,83.73
2016-06-02,75.78
2016-06-03,68.36
2016-06-04,62.76
2016-06-05,61.9
2016-06-06,71.14
2016-06-07,66.2
2016-06-08,62.38
2016-06-09,62.62
2016-06-10,57.03
2016-06-11,55.98
2016-06-12,68.78
2016-06-13,75.09
2016-06-14,83.57
2016-06-15,64.52
2016-06-16,97.75
2016-06-17,112.24
2016-06-18,73.85
2016-06-19,76.91
2016-06-20,79.02
2016-06-21,99.31
2016-06-22,138.84
2016-06-23,100.71
2016-06-24,93.38
2016-06-25,97.64
2016-06-26,88.53
2016-06-27,75.9
2016-06-28,71.7
2016-06-29,98.31
2016-06-30,98.93
2016-07-01,160.8
2016-07-02,139.86
2016-07-03,102.55
2016-07-04,95.18
2016-07-05,99.01
2016-07-06,84.39
2016-07-07,65.7
2016-07-08,68.66
2016-07-09,62.11
2016-07-10,52.33
2016-07-11,47.24
2016-07-12,48.35
2016-07-13,47.51
2016-07-14,51.95
2016-07-15,56.52
2016-07-16,50.92
2016-07-17,46.47
2016-07-18,52.02
2016-07-19,52.41
2016-07-20,45.54
2016-07-21,48.59
2016-07-22,67.62
2016-07-23,67.25
2016-07-24,58.19
2016-07-25,47.16
2016-07-26,50.91
2016-07-27,45.15
2016-07-28,83.22
2016-07-29,101.05
2016-07-30,35.26
2016-07-31,152.17
2016-08-01,75.35
2016-08-02,57.72
2016-08-03,57.71
2016-08-04,66.4
2016-08-05,61.19
2016-08-06,47.76
2016-08-07,40.79
2016-08-08,40.44
2016-08-09,39.56
2016-08-10,38.06
2016-08-11,50.36
2016-08-12,65.24
2016-08-13,47.61
2016-08-14,38.93
2016-08-15,40.57
2016-08-16,39.45
2016-08-17,38.87
2016-08-18,36.67
2016-08-19,38.58
2016-08-20,37.21
2016-08-21,33.9
2016-08-22,32.07
2016-08-23,94.59
2016-08-24,57.92
2016-08-25,39.29
2016-08-26,34.38
2016-08-27,38.84
2016-08-28,40.16
2016-08-29,37.36
2016-08-30,35.76
2016-09-01,38.74
2016-09-02,36.89
2016-09-03,33.9
2016-09-04,31.18
2016-09-05,32.14
2016-09-06,32.75
2016-09-07,40.75
2016-09-08,37.8
2016-09-09,33.44
2016-09-10,38.79
2016-09-11,52.85
2016-09-12,52.59
2016-09-13,43.3
2016-09-14,73.91
2016-09-15,99.69
2016-09-16,65.09
2016-09-17,47.6
2016-09-18,39.78
2016-09-19,34.55
2016-09-20,34.4
2016-09-21,34.89
2016-09-22,33.58
2016-09-23,32.36
2016-09-24,37.67
2016-09-25,45.56
2016-09-26,38.86
2016-09-27,36.36
2016-09-28,32.48
2016-09-29,31.19
2016-09-30,67.16
2016-10-01,50.18
2016-10-02,66.19
2016-10-03,63.67
2016-10-04,88.59
2016-10-05,51.71
2016-10-06,44.26
2016-10-07,46.09
2016-10-08,58.99
2016-10-09,86.7
2016-10-10,75.47
2016-10-11,58.28
2016-10-12,53.93
2016-10-13,50.0
2016-10-14,46.2
2016-10-15,45.07
2016-10-16,44.1
2016-10-17,48.97
2016-10-18,42.4
2016-10-19,41.51
2016-10-20,46.27
2016-10-21,41.6
2016-10-22,41.47
2016-10-23,65.93
2016-10-24,62.59
2016-10-25,84.45
2016-10-26,82.5
2016-10-27,78.67
2016-10-28,109.51
2016-10-29,80.41
2016-10-30,106.7
2016-11-01,76.41
2016-11-02,78.59
2016-11-03,71.63
2016-11-04,71.38
2016-11-05,65.73
2016-11-06,61.66
2016-11-07,72.22
2016-11-08,69.64
2016-11-09,81.11
2016-11-10,73.42
2016-11-11,93.77
2016-11-12,87.59
2016-11-13,96.35
2016-11-14,101.58
2016-11-15,134.37
2016-11-16,105.2
2016-11-17,90.76
2016-11-18,109.55
2016-11-19,171.53
2016-11-20,142.39
2016-11-21,105.89
2016-11-22,88.74
2016-11-23,79.85
2016-11-24,75.7
2016-11-25,84.14
2016-11-26,105.63
2016-11-27,102.63
2016-11-28,115.98
2016-11-29,141.28
2016-11-30,169.6
2016-12-01,98.93
2016-12-02,91.6
2016-12-03,103.92
2016-12-04,89.17
2016-12-05,106.85
2016-12-06,103.6
2016-12-07,109.78
2016-12-08,102.45
2016-12-09,101.95
2016-12-10,102.98
2016-12-11,96.76
2016-12-12,88.79
2016-12-13,83.38
2016-12-14,88.46
2016-12-15,86.75
2016-12-16,96.27
2016-12-17,103.54
2016-12-18,102.62
2016-12-19,101.28
2016-12-20,107.05
2016-12-21,180.53
2016-12-22,199.59
2016-12-23,172.53
2016-12-24,214.39
2016-12-25,175.77
2016-12-26,159.5
2016-12-27,207.63
2016-12-28,174.37
2016-12-29,159.96
2017-01-01,155.65
2017-01-02,135.2
2017-01-03,125.03
2017-01-04,113.34
2017-01-05,118.65
2017-01-06,110.84
2017-01-07,105.59
2017-01-08,119.15
2017-01-09,138.39
2017-01-10,170.37
2017-01-11,200.54
2017-01-12,216.67
2017-01-13,184.37
2017-01-14,189.54
2017-01-15,177.3
2017-01-16,190.58
2017-01-17,188.99
2017-01-18,228.56
2017-01-19,250.56
2017-01-20,223.19
2017-01-21,305.58
2017-01-22,223.98
2017-01-23,176.07
2017-01-24,153.73
2017-01-25,139.11
2017-01-26,129.55
2017-01-27,138.77
2017-01-28,135.2
2017-01-29,116.53
2017-01-30,112.39
2017-01-31,105.42
2017-02-01,100.44
2017-02-02,95.94
2017-02-03,98.25
2017-02-04,90.3
2017-02-05,81.93
2017-02-06,75.8
2017-02-07,71.78
2017-02-08,71.3
2017-02-09,69.66
2017-02-10,72.01
2017-02-11,70.45
2017-02-12,124.6
2017-02-13,111.18
2017-02-14,91.32
2017-02-15,76.71
2017-02-16,70.18
2017-02-17,68.92
2017-02-18,66.72
2017-02-19,63.72
2017-02-20,69.46
2017-02-21,68.61
2017-02-22,70.6
2017-02-23,62.69
2017-02-24,60.5
2017-02-25,65.16
2017-02-26,73.12
2017-02-27,75.72
2017-02-28,83.92
2017-03-29,130.84
2017-03-30,164.95
2017-03-31,101.62
2017-04-01,275.13
2017-04-02,216.37
2017-04-03,176.24
2017-04-04,157.14
2017-04-05,138.54
2017-04-06,128.83
2017-04-07,117.22
2017-04-08,119.21
2017-04-09,140.12
2017-04-10,165.73
2017-04-11,179.69
2017-04-12,154.15
2017-04-13,137.05
2017-04-14,127.64
2017-04-15,125.11
2017-04-16,112.87
2017-04-17,116.63
2017-04-18,150.34
2017-04-19,188.93
2017-04-20,176.47
2017-04-21,204.33
2017-04-22,163.47
2017-04-23,147.41
2017-04-24,126.21
2017-04-25,138.86
2017-04-26,244.4
2017-04-27,173.73
2017-04-28,144.29
2017-04-29,106.49
2017-04-30,103.1
2017-05-01,170.63
2017-05-02,150.1
2017-05-03,138.71
2017-05-04,151.11
2017-05-05,141.73
2017-05-06,183.47
2017-05-07,177.2
2017-05-08,202.07
2017-05-09,261.1
2017-05-10,370.16
2017-05-11,396.28
2017-05-12,332.19
2017-05-13,322.56
2017-05-14,303.77
2017-05-15,294.35
2017-05-16,351.45
2017-05-17,296.8
2017-05-18,238.12
2017-05-19,217.48
2017-05-20,197.08
2017-05-21,187.51
2017-05-22,196.71
2017-05-23,175.49
2017-05-24,150.47
2017-05-25,137.25
2017-05-26,133.21
2017-05-27,123.11
2017-05-28,116.29
2017-05-29,97.53
2017-05-30,91.76
2017-05-31,75.37
2017-06-01,103.85
2017-06-02,100.76
2017-06-03,93.95
2017-06-04,89.82
2017-06-05,146.96
2017-06-06,108.31
2017-06-07,99.76
2017-06-08,110.73
2017-06-09,92.0
2017-06-10,88.29
2017-06-11,102.48
2017-06-12,160.33
2017-06-13,171.98
2017-06-14,147.44
2017-06-15,130.7
2017-06-16,124.36
2017-06-17,119.37
2017-06-18,130.26
2017-06-19,121.04
2017-06-20,113.0
2017-06-21,147.11
2017-06-22,144.72
2017-06-23,117.01
2017-06-24,100.72
2017-06-25,104.25
2017-06-26,130.45
2017-06-27,119.7
2017-06-28,110.26
2017-06-29,121.98
2017-06-30,120.8
2017-07-01,93.07
2017-07-02,89.37
2017-07-03,106.97
2017-07-04,131.34
2017-07-05,126.09
2017-07-06,124.9
2017-07-07,151.83
2017-07-08,158.65
2017-07-09,183.22
2017-07-10,211.64
2017-07-11,220.13
2017-07-12,210.04
2017-07-13,173.03
2017-07-14,116.47
2017-07-15,86.63
2017-07-16,74.52
2017-07-17,69.17
2017-07-18,63.27
2017-07-19,74.79
2017-07-20,92.84
2017-07-21,67.33
2017-07-22,56.46
2017-07-23,54.46
2017-07-24,57.36
2017-07-25,102.13
2017-07-26,154.0
2017-07-27,175.38
2017-07-28,157.64
2017-07-29,53.9
2017-07-30,67.19
2017-07-31,178.57
2017-08-01,85.73
2017-08-02,66.01
2017-08-03,55.93
2017-08-04,52.48
2017-08-05,52.7
2017-08-06,64.75
2017-08-07,56.44
2017-08-08,61.41
2017-08-09,71.15
2017-08-10,92.7
2017-08-11,57.75
2017-08-12,49.69
2017-08-13,48.28
2017-08-14,45.27
2017-08-15,42.25
2017-08-16,41.29
2017-08-17,43.35
2017-08-18,42.43
2017-08-19,69.99
2017-08-20,63.27
2017-08-21,51.97
2017-08-22,51.68
2017-08-23,52.85
2017-08-24,44.1
2017-08-25,41.26
2017-08-26,48.23
2017-08-27,48.92
2017-08-28,56.09
2017-08-29,35.85
2017-08-30,37.18
2017-09-01,75.06
2017-09-02,50.04
2017-09-03,44.86
2017-09-04,42.01
2017-09-05,39.46
2017-09-06,38.99
2017-09-07,37.46
2017-09-08,41.05
2017-09-09,38.82
2017-09-10,39.02
2017-09-11,38.25
2017-09-12,38.29
2017-09-13,35.77
2017-09-14,34.02
2017-09-15,34.94
2017-09-16,38.06
2017-09-17,41.71
2017-09-18,45.63
2017-09-19,41.22
2017-09-20,36.32
2017-09-21,33.62
2017-09-22,34.69
2017-09-23,32.05
2017-09-24,35.62
2017-09-25,41.52
2017-09-26,57.96
2017-09-27,41.54
2017-09-28,38.1
2017-09-29,68.85
2017-09-30,65.33
2017-10-01,36.79
2017-10-02,52.63
2017-10-03,65.44
2017-10-04,120.28
2017-10-05,64.04
2017-10-06,53.98
2017-10-07,47.81
2017-10-08,43.64
2017-10-09,44.32
2017-10-10,44.18
2017-10-11,41.56
2017-10-12,44.32
2017-10-13,43.89
2017-10-14,43.03
2017-10-15,43.88
2017-10-16,51.92
2017-10-17,44.45
2017-10-18,40.53
2017-10-19,37.48
2017-10-20,37.57
2017-10-21,39.6
2017-10-22,40.91
2017-10-23,48.4
2017-10-24,50.1
2017-10-25,44.4
2017-10-26,60.22
2017-10-27,51.74
2017-10-28,62.72
2017-10-29,127.88
2017-10-30,125.45
2017-11-01,77.74
2017-11-02,100.54
2017-11-03,88.78
2017-11-04,155.41
2017-11-05,127.87
2017-11-06,87.1
2017-11-07,67.66
2017-11-08,101.34
2017-11-09,148.37
2017-11-10,144.88
2017-11-11,126.69
2017-11-12,92.37
2017-11-13,105.0
2017-11-14,203.16
2017-11-15,204.57
2017-11-16,227.61
2017-11-17,253.2
2017-11-18,202.41
2017-11-19,219.48
2017-11-20,362.56
2017-11-21,326.69
2017-11-22,230.35
2017-11-23,188.59
2017-11-24,191.38
2017-11-25,168.3
2017-11-26,140.45
2017-11-27,157.21
2017-11-28,129.18
2017-11-29,173.99
2017-11-30,188.05
2017-12-01,144.03
2017-12-02,338.25
2017-12-03,303.73
2017-12-04,215.65
2017-12-05,175.73
2017-12-06,148.0
2017-12-07,132.54
2017-12-08,131.49
2017-12-09,128.6
2017-12-10,171.72
2017-12-11,165.1
2017-12-12,217.85
2017-12-13,161.71
2017-12-14,134.24
2017-12-15,121.9
2017-12-16,113.79
2017-12-17,105.56
2017-12-18,98.74
2017-12-19,92.78
2017-12-20,93.39
2017-12-21,107.07
2017-12-22,123.1
2017-12-23,104.15
2017-12-24,111.09
2017-12-25,136.13
2017-12-26,186.87
2017-12-27,149.17
2017-12-28,160.1
2018-01-01,172.28
2018-01-02,204.75
2018-01-03,170.52
2018-01-04,162.96
2018-01-05,158.07
2018-01-06,134.27
2018-01-07,134.46
2018-01-08,130.04
2018-01-09,138.14
2018-01-10,137.4
2018-01-11,125.46
2018-01-12,125.03
2018-01-13,122.35
2018-01-14,137.16
2018-01-15,144.84
2018-01-16,172.32
2018-01-17,148.81
2018-01-18,132.91
2018-01-19,122.12
2018-01-20,141.62
2018-01-21,133.36
2018-01-22,108.66
2018-01-23,98.97
2018-01-24,91.74
2018-01-25,85.81
2018-01-26,81.92
2018-01-27,80.06
2018-01-28,77.73
2018-01-29,77.88
2018-01-30,74.45
2018-01-31,74.02
2018-02-01,73.49
2018-02-02,75.88
2018-02-03,97.12
2018-02-04,98.67
2018-02-05,85.85
2018-02-06,110.82
2018-02-07,112.75
2018-02-08,86.05
2018-02-09,79.67
2018-02-10,84.07
2018-02-11,80.22
2018-02-12,73.46
2018-02-13,72.11
2018-02-14,75.12
2018-02-15,75.19
